year,region,no_of_accidents,no_of_casualties_dead,no_of_casualties_injured,driving_licenses,x,y
2016,Al-Baaha,3618.0,185.0,1227.0,4614,20.1484058503,41.4665484892
2016,Al-Jouf,10212.0,245.0,920.0,9371,29.9677445762,39.5570371172
2016,Asir,32684.0,983.0,2541.0,41367,19.1387847401,42.941470036
2016,Eastern Region,101619.0,1113.0,4893.0,142307,23.2883307307,50.1478302439
2016,Hail,10199.0,299.0,932.0,54507,27.400845724,41.4406960508
2016,Jazan,25873.0,514.0,2259.0,11504,17.2072313962,42.6525807422
2016,Madinah,14475.0,822.0,4184.0,24540,24.927534539,39.4918237173
2016,Makkah,134838.0,2243.0,12383.0,136055,21.628962766,41.2636898334
2016,Najran,3235.0,173.0,706.0,2153,18.4511003068,46.8688495726
2016,Northern Boarder,13196.0,193.0,631.0,4958,30.197074783,41.8171186952
2016,Qassim,25664.0,397.0,1513.0,9180,26.1967063704,43.3429998455
2016,Riyadh,141736.0,1430.0,4207.0,242851,23.0814341634,45.5857512766
2016,Tabouk,16031.0,434.0,1724.0,13610,27.90165499,37.2598581394
2017,Al-Baaha,1414.0,134.0,1007.0,4131,20.1484058503,41.4665484892
2017,Al-Jouf,10469.0,240.0,862.0,8091,29.9677445762,39.5570371172
2017,Asir,25245.0,828.0,2368.0,39133,19.1387847401,42.941470036
2017,Eastern Region,81433.0,963.0,4073.0,126816,23.2883307307,50.1478302439
2017,Hail,9379.0,265.0,773.0,22035,27.400845724,41.4406960508
2017,Jazan,22161.0,466.0,2207.0,18345,17.2072313962,42.6525807422
2017,Madinah,16070.0,580.0,2917.0,36165,24.927534539,39.4918237173
2017,Makkah,145541.0,1641.0,10623.0,142487,21.628962766,41.2636898334
2017,Najran,3193.0,194.0,766.0,13825,18.4511003068,46.8688495726
2017,Northern Boarder,11540.0,112.0,374.0,5280,30.197074783,41.8171186952
2017,Qassim,22405.0,319.0,1446.0,6318,26.1967063704,43.3429998455
2017,Riyadh,99925.0,1399.0,4540.0,495307,23.0814341634,45.5857512766
2017,Tabouk,11713.0,348.0,1243.0,10232,27.90165499,37.2598581394
2012,Makkah,,,,143954,21.628962766,41.2636898334
1994,Makkah,,,,75349,21.628962766,41.2636898334
1998,Makkah,,,,86082,21.628962766,41.2636898334
2004,Makkah,,,,86636,21.628962766,41.2636898334
2005,Makkah,,,,65099,21.628962766,41.2636898334
2008,Makkah,,,,77013,21.628962766,41.2636898334
2014,Madinah,,,,31447,24.927534539,39.4918237173
2013,Madinah,,,,28513,24.927534539,39.4918237173
2012,Madinah,,,,14459,24.927534539,39.4918237173
1994,Madinah,,,,3767,24.927534539,39.4918237173
1998,Madinah,,,,13020,24.927534539,39.4918237173
2000,Madinah,,,,9562,24.927534539,39.4918237173
2007,Madinah,,,,12174,24.927534539,39.4918237173
2004,Madinah,,,,10556,24.927534539,39.4918237173
1995,Qassim,,,,49690,26.1967063704,43.3429998455
1996,Qassim,,,,42693,26.1967063704,43.3429998455
2015,Eastern Region,,,,135752,23.2883307307,50.1478302439
2015,Asir,,,,38567,19.1387847401,42.941470036
1995,Asir,,,,4889,19.1387847401,42.941470036
1996,Asir,,,,3319,19.1387847401,42.941470036
1998,Asir,,,,13220,19.1387847401,42.941470036
2010,Tabouk,,,,10345,27.90165499,37.2598581394
2013,Tabouk,,,,12848,27.90165499,37.2598581394
1996,Tabouk,,,,2263,27.90165499,37.2598581394
1998,Tabouk,,,,6823,27.90165499,37.2598581394
2001,Tabouk,,,,6344,27.90165499,37.2598581394
2007,Tabouk,,,,11045,27.90165499,37.2598581394
2007,Hail,,,,4021,27.400845724,41.4406960508
2004,Hail,,,,8656,27.400845724,41.4406960508
2005,Hail,,,,16247,27.400845724,41.4406960508
2009,Hail,,,,7282,27.400845724,41.4406960508
2012,Northern Boarder,,,,3706,30.197074783,41.8171186952
1993,Northern Boarder,,,,1510,30.197074783,41.8171186952
2000,Northern Boarder,,,,2894,30.197074783,41.8171186952
2005,Northern Boarder,,,,1804,30.197074783,41.8171186952
2010,Jazan,,,,12270,17.2072313962,42.6525807422
1993,Jazan,,,,6009,17.2072313962,42.6525807422
1997,Jazan,,,,5695,17.2072313962,42.6525807422
2000,Jazan,,,,5678,17.2072313962,42.6525807422
2001,Jazan,,,,10631,17.2072313962,42.6525807422
2008,Jazan,,,,11346,17.2072313962,42.6525807422
2010,Najran,,,,6360,18.4511003068,46.8688495726
2013,Najran,,,,8996,18.4511003068,46.8688495726
1995,Najran,,,,3268,18.4511003068,46.8688495726
1999,Najran,,,,3959,18.4511003068,46.8688495726
2003,Najran,,,,4443,18.4511003068,46.8688495726
2009,Najran,,,,6771,18.4511003068,46.8688495726
2015,Al-Baaha,,,,4856,20.1484058503,41.4665484892
2011,Al-Baaha,,,,6450,20.1484058503,41.4665484892
1994,Al-Baaha,,,,2729,20.1484058503,41.4665484892
1996,Al-Baaha,,,,1468,20.1484058503,41.4665484892
2010,Al-Jouf,,,,10937,29.9677445762,39.5570371172
1996,Al-Jouf,,,,2518,29.9677445762,39.5570371172
2000,Al-Jouf,,,,4666,29.9677445762,39.5570371172
